ncl,cltype,COmax_x,COmax_y,COmax_v,LCO,LCOerr,LHCO,LHCOerr,LHCN,LHCNerr,vel_dispCO,vel_dispCOerr,vel_dispHCO,vel_dispHCOerr,vel_dispHCN,vel_dispHCNerr,maj,min,R,Rerr,area,perim
39,2,309,623,765,5.091e+04,15.53,3104,12.85,888.4,12.83,2.783,0.04624,2.687,0.03241,1.956,0.07165,31.85,19.05,26.93,16.64,1.845e+04,1737
40,2,455,515,591,2.881e+05,26.13,1.212e+04,13.75,2274,13.52,8.94,0.1361,8.938,0.1381,8.172,0.3869,44.37,65.74,82.64,28.72,5.589e+04,2947
41,2,559,286,603,8989,13.79,1135,12.75,319.7,12.75,1.484,0.01995,1.851,0.02553,0.4738,0.0128,26.04,14.3,10.3,32.16,7026,624
42,2,515,508,458,3.112e+04,15.3,2414,12.84,1522,12.85,2.571,0.03802,2.652,0.04048,2.476,0.04873,21.27,24.6,22.46,3.796,8823,566.4
43,2,456,231,569,8.453e+04,15.86,3813,12.87,1333,12.87,2.224,0.02961,2.034,0.01968,1.844,0.02676,20.78,45.78,40.45,13.31,1.437e+04,950.3
44,2,515,508,443,9022,13.67,796.6,12.74,535,12.74,1.408,0.01657,1.339,0.01163,1.63,0.03514,16.79,27.38,18.35,20.43,6036,489.6
45,2,469,537,626,6.779e+04,16.67,2687,12.93,399.2,12.87,3.6,0.05523,3.749,0.05522,0.3337,0.01745,24.54,39.81,41.26,20.82,2.076e+04,1517
46,2,344,612,779,2.071e+04,13.82,1238,12.75,329,12.74,1.377,0.02331,1.208,0.01262,0.7653,0.02184,28.56,18.59,22.91,9.353,5966,528
47,2,462,220,583,1.98e+04,13.56,810.4,12.73,165.6,12.72,1.639,0.03229,1.44,0.01804,1.483,0.06936,18.78,30.27,24.97,22.75,6404,528
48,2,457,233,579,2.342e+04,13.87,1032,12.75,310.2,12.74,2.696,0.0539,2.686,0.04921,1.993,0.06893,11.36,15.9,nan,2.802,7049,729.5
49,2,344,612,773,5.477e+04,15.91,3315,12.88,1056,12.86,2.811,0.03612,3.744,0.04819,2.768,0.08829,34.35,19.25,29.49,19.7,1.106e+04,729.5
50,2,344,613,787,2.779e+04,14.64,1813,12.8,375.9,12.78,2.816,0.04088,3.365,0.0421,3.993,0.2579,29.56,15.24,17.68,9.442,8938,873.5
51,2,309,623,777,4.999e+04,15.61,2990,12.86,616.7,12.81,3.345,0.04737,3.58,0.05225,0.6026,0.0426,20.4,50.16,42.74,20.43,1.564e+04,1142
52,2,559,288,624,1.244e+04,14.42,1486,12.78,286.8,12.76,4.427,0.08283,4.296,0.06879,3.344,0.2076,18.66,13.07,nan,6.594,6911,691.1
53,2,310,622,762,7.069e+04,15.93,3525,12.88,1114,12.86,3.46,0.04848,3.534,0.05015,3.728,0.1229,17.89,28.84,22.03,10.82,1.419e+04,1027
54,2,470,537,625,4.811e+04,15.54,1966,12.85,285.8,12.81,2.732,0.03671,2.789,0.03941,3.24,0.1484,48.99,22.29,44.81,22.81,1.781e+04,1363
55,2,322,599,715,3.878e+04,15.03,2196,12.82,612,12.8,3.129,0.04617,3.204,0.04814,2.716,0.05995,14.29,28.02,13.43,13.75,9768,643.2
56,2,459,219,571,3.805e+04,13.99,1300,12.76,529.2,12.76,1.959,0.03387,1.796,0.02296,1.749,0.04369,18.64,21.66,13.74,12.36,7925,614.4
57,2,436,216,543,1.808e+04,13.65,1079,12.74,521.2,12.74,2.083,0.03402,1.854,0.01894,1.3,0.02279,27.05,20.74,24.58,9.875,3870,384
58,2,343,610,739,2.741e+04,14.76,1807,12.8,428.8,12.79,3.615,0.06467,3.531,0.04938,2.948,0.1549,39.26,18.78,32.71,27.01,8247,624
59,2,561,286,565,1.411e+04,14.37,1846,12.8,751.3,12.79,3.387,0.0647,4.216,0.07527,2.61,0.08179,17.17,13.39,nan,1.93,5045,451.2
60,2,309,624,744,1.829e+05,20.79,9663,13.25,2276,13.15,7.404,0.1164,7.587,0.1244,7.709,0.3268,19.18,39.12,33.23,7.749,2.739e+04,1545
61,2,455,515,596,5.24e+04,15.5,1957,12.85,486.4,12.83,2.428,0.03818,2.329,0.02915,2.742,0.1028,47.2,20.55,41.05,24.88,1.813e+04,1401
62,2,465,517,607,4.725e+04,15.31,1700,12.84,220.3,12.8,3.132,0.04274,3.214,0.04772,1.65,0.08279,19.4,33.22,28.72,16.25,1.06e+04,624
63,2,456,231,571,6.253e+04,15.04,2500,12.82,1023,12.82,2.785,0.05022,2.444,0.02762,2.824,0.07245,22.08,33.96,33.21,8.052,9768,710.3
64,2,325,594,643,2.193e+04,13.76,962.2,12.74,272.5,12.74,1.778,0.03082,1.648,0.02188,1.874,0.05277,34.59,20.93,32.16,16.61,5160,422.4
65,2,516,508,559,3.287e+04,15.1,1864,12.83,1230,12.83,3.046,0.04945,3.02,0.04515,2.825,0.05136,23.5,20.78,20.3,4.039,6888,537.6
