ncl,cltype,LCO,LCOerr,LHCO,LHCOerr,LHCN,LHCNerr,vel_dispCO,vel_dispCOerr,vel_dispHCO,vel_dispHCOerr,vel_dispHCN,vel_dispHCNerr,maj,min,R,Rerr,area,perim,LHCO43,LHCO43err,vel_dispHCO43,vel_dispHCO43err,LHCN43,LHCN43err,vel_dispHCN43,vel_dispHCN43err,L13CO,L13COerr,vel_disp13CO,vel_disp13COerr,Q0,CM_SNR,SFR_SD
45,0,3.944e+05,4.497e+04,nan,nan,nan,nan,10.36,0.2041,nan,nan,nan,nan,45.79,25.22,46.61,23.52,6588,432,nan,nan,nan,nan,nan,nan,nan,nan,6.132e+04,7814,10.32,0.1554,-1.716e+52,-0.3696,403.5
46,1,3.491e+07,3.496e+06,6.245e+05,7.312e+04,nan,nan,43.97,0.5202,44.12,0.9209,nan,nan,174,88.61,199.7,83.88,1.681e+05,4156,nan,nan,nan,nan,nan,nan,nan,nan,4.446e+06,4.466e+05,46.56,0.67,7.785e+54,2.298,377.5
47,1,3.154e+07,3.159e+06,5.817e+05,6.838e+04,nan,nan,43.81,0.5218,44.39,0.9473,nan,nan,173.8,86.62,197.2,76.14,1.485e+05,3657,nan,nan,nan,nan,nan,nan,nan,nan,4.029e+06,4.047e+05,46.52,0.6772,6.895e+54,2.319,378$
48,2,8.114e+05,8.44e+04,nan,nan,nan,nan,10.42,0.1626,nan,nan,nan,nan,22.28,37.89,36.78,17.91,7648,547.2,8466,3691,4.422,0.1053,nan,nan,nan,nan,1.169e+05,1.28e+04,10.4,0.1606,1.555e+53,2.897,1735
49,2,4.475e+05,4.811e+04,2.445e+04,4725,1.891e+04,4633,7.949,0.1423,7.329,0.1501,6.491,0.1283,35.98,17.04,27.24,21.47,4930,393.6,nan,nan,nan,nan,819.9,1447,3.283,0.05249,8.864e+04,9709,7.5,0.1052,2.775e+52,0.89$
50,1,2.743e+07,2.748e+06,5.232e+05,6.201e+04,nan,nan,43.22,0.5383,44.07,1.01,nan,nan,168.8,90.54,198.8,82.99,1.33e+05,3821,nan,nan,nan,nan,nan,nan,nan,nan,3.533e+06,3.55e+05,45.56,0.6826,5.818e+54,2.326,379.6
51,1,2.379e+07,2.383e+06,4.657e+05,5.581e+04,nan,nan,43.26,0.5615,43.96,0.9805,nan,nan,167.4,86.41,193.2,49.11,1.111e+05,2822,nan,nan,nan,nan,nan,nan,nan,nan,3.068e+06,3.085e+05,45.36,0.6935,4.914e+54,2.338,380$
52,1,2.437e+07,2.442e+06,4.765e+05,5.695e+04,nan,nan,43.28,0.5617,43.96,0.9766,nan,nan,168.3,87.26,194.7,58.39,1.16e+05,3245,nan,nan,nan,nan,nan,nan,nan,nan,3.144e+06,3.161e+05,45.37,0.6939,5.052e+54,2.333,380.9
53,0,2.809e+05,3.63e+04,nan,nan,nan,nan,6.412,0.09979,nan,nan,nan,nan,79.41,33.05,77.83,30,1.055e+04,806.3,nan,nan,nan,nan,nan,nan,nan,nan,1.038e+05,1.161e+04,7.834,0.1187,2.384e+52,0.4472,243.2
54,0,4.491e+05,5.081e+04,nan,nan,nan,nan,9.442,0.1687,nan,nan,nan,nan,24.76,50.93,49.53,11.13,8224,528,nan,nan,nan,nan,nan,nan,nan,nan,7.303e+04,9040,9.244,0.1426,5.214e+52,0.9278,330
55,0,1.507e+05,2.026e+04,nan,nan,nan,nan,6.174,0.0911,nan,nan,nan,nan,25.39,17.29,16.79,15.53,2580,230.4,nan,nan,nan,nan,nan,nan,nan,nan,3.38e+04,4544,6.449,0.0936,1.005e+51,0.05504,391.6
56,2,1.712e+06,1.731e+05,1.444e+05,1.559e+04,6.212e+04,8803,10.67,0.1585,10.39,0.1938,10.28,0.1792,26.73,40.75,44.72,10.73,6105,422.4,nan,nan,nan,nan,nan,nan,nan,nan,3.606e+05,3.651e+04,10.4,0.14,1.112e+54,17.4$
57,2,2.912e+05,3.68e+04,nan,nan,nan,nan,8.868,0.1264,nan,nan,nan,nan,44.18,18.71,36.13,10.88,7648,556.8,nan,nan,nan,nan,nan,nan,nan,nan,5.432e+04,7414,10.07,0.1592,5.2e+52,1.032,254.7
58,2,9.408e+04,1.322e+04,nan,nan,nan,nan,6.07,0.1008,nan,nan,nan,nan,14.94,12,nan,3.36,1751,192,nan,nan,nan,nan,nan,nan,nan,nan,1.329e+04,2471,5.942,0.09036,1.373e+52,1.598,399.5
59,2,3.415e+05,3.677e+04,1.304e+04,3414,7788,3361,7.604,0.1286,7.53,0.1547,7.341,0.2173,19.18,12.75,nan,1.695,3502,364.8,1.397e+04,3072,5.942,0.05446,nan,nan,nan,nan,3.903e+04,4959,7.494,0.1146,9.256e+52,5,526.3
60,0,5.808e+05,6.322e+04,nan,nan,nan,nan,9.966,0.2043,nan,nan,nan,nan,25.92,31.26,35.54,7.212,7533,460.8,nan,nan,nan,nan,nan,nan,nan,nan,7.595e+04,9436,9.438,0.1362,5.255e+52,0.8469,363
61,1,1.208e+07,1.212e+06,2.618e+05,3.377e+04,nan,nan,38.35,0.5339,38.18,0.7746,nan,nan,167.8,80.88,187,88.05,6.888e+04,2707,nan,nan,nan,nan,nan,nan,nan,nan,1.608e+06,1.623e+05,39.63,0.6175,2.265e+54,2.369,383.9
62,0,1.738e+06,1.798e+05,nan,nan,nan,nan,13.34,0.1832,nan,nan,nan,nan,52.03,31.27,58.49,20.63,2.446e+04,1277,nan,nan,nan,nan,nan,nan,nan,nan,2.873e+05,3.052e+04,12.93,0.1751,3.087e+53,1.472,314.1
63,2,1.627e+05,1.881e+04,4463,2126,3695,2158,4.741,0.08092,5.177,0.1618,4.376,0.1191,25.82,11.13,nan,3.718,2096,211.2,nan,nan,nan,nan,nan,nan,nan,nan,2.28e+04,3113,4.561,0.06725,1.329e+52,1.496,378.9
